00001141 SOUTHERNER           004 08-25-1846 041 
00001144 SEA OF NEW YORK      004 08-27-1846 062 
00001145 LUCONIA              004 10-13-1846 023 
00001146 EMPIRE               004 11-30-1846 294 
00001147 STEPHEN WHITNEY      004 11-30-1846 321 
00001149 VIRGINIAN            004 08-27-1846 149 
00001150 NORTHUMBERLAND       061 12-08-1846 021 
00001154 COSMO                052 12-09-1846 037 
00001155 BRILLIANT            004 06-29-1846 116 
00001156 DOLPHIN              067 10-13-1846 003 
00001157 BURLINGTON           004 10-14-1846 197 
00001158 HARRIET              060 06-29-1846 001 
00001160 VERMONT              006 10-19-1846 033 
00001161 ELEUTHERIA           158 10-23-1846 004 
00001163 ASHBURTON            004 10-27-1846 316 
00001166 SIR C CAMPBELL       004 07-07-1846 214 
00001167 FOAM                 102 07-07-1846 002 
00001168 ST. MARGARET         147 07-08-1846 004 
00001169 EUROPE               004 10-29-1846 246 
00001171 ANN HARLEY           006 12-11-1846 010 
00001172 CLAUSMAN             006 07-08-1846 002 
00001174 LIVERPOOL            004 07-14-1846 272 
00001175 QUEEN OF THE WEST    004 12-11-1846 261 
00001178 ELIZABETH DENISON    004 07-20-1846 126 
00001182 CHRISTIANA           061 10-27-1846 002 
00001187 WESTMINSTER          061 07-10-1846 047 
00001189 NEW YORK             004 07-13-1846 341 
00001190 MILLICETE            004 07-13-1846 272 
00001191 INDEPENDENCE         004 07-14-1846 230 
00001192 FRANCONIA            004 12-14-1846 181 
00001193 PANTHEA              004 12-12-1846 256 
00001194 UNITED KINGDOM       004 07-14-1846 470 
00001196 SHERIDAN             004 12-15-1846 149 
00001197 GAZELLE              147 12-17-1846 004 
00001199 PONTIAC              004 12-21-1846 104 
00002000 OCEAN                004 07-14-1846 229 
00002001 PRINCE HENRY         162 07-14-1846 002 
00002002 MIRACLE              004 07-14-1846 225 
00002003 SIDDONS              004 07-20-1846 352 
00002004 CHAOS                004 01-02-1847 167 
00002005 AFFGHAN              002 07-20-1846 006 
00002006 MARGARET EVANS       061 07-20-1846 004 
00002007 WESTMINSTER          061 04-02-1847 016 
00002009 CHARLEMAGNE          004 07-23-1846 210 
00002010 HOWARD               004 07-23-1846 158 
00002011 ELSINORE             004 12-22-1846 235 
00002012 YORKSHIRE            004 04-01-1847 392 
00002013 GREAT BRITAIN        004 07-21-1846 006 
00002015 YUCATAN              004 07-22-1846 248 
00002021 SOUTHERNER           004 12-26-1846 267 
00002022 HENRY CLAY           004 12-26-1846 267 
00002025 YORKSHIRE            004 07-31-1846 360 
00002028 SARDINIA             004 02-06-1847 119 
00002029 HYNDERFORD           006 02-08-1847 001 
00002030 NICHOLAS BIDDLE      004 02-09-1847 042 
00002031 GLENMORE             018 02-09-1847 181 
00002033 COLONIST             004 04-03-1847 267 
00002034 COLUMBIA             004 07-31-1846 367 
00002035 OXFORD               004 12-26-1846 244 
00002036 INDIANA              004 01-04-1847 058 
00002037 KALAMAZOO            004 12-28-1846 270 
00002038 BURLINGTON           004 04-03-1847 246 
00002039 VIRGINIAN            004 12-29-1846 174 
00002040 SARAH SANDS          004 02-11-1847 015 
00002041 JOSEPHINE            035 06-01-1847 045 
00002042 WRENHAM              018 06-01-1847 209 
00002043 TALLERAND            006 06-01-1847 076 
00002044 SAMUEL HICKS         004 01-04-1847 072 
00002046 ELIZA                155 02-15-1847 001 
00002048 WATERLOO             004 02-19-1847 093 
00002049 MONTEZUMA            004 02-20-1847 067 
00002050 CAMBRIDGE            004 01-04-1847 271 
00002051 INDEPENDENCE         061 02-20-1847 015 
00002052 NEW WORLD            004 02-22-1847 311 
00002054 ROSCIUS              004 02-23-1847 297 
00002055 ORPHAN               004 12-30-1846 195 
00002057 BROTHERS             053 04-05-1847 188 
00002058 MAY T RUNLET         046 04-05-1847 114 
00002059 MARY H KENDALL       000 06-01-1847 029 
00002060 CEYLON               004 06-01-1847 296 
00002071 LORD ASHBURTON       004 06-01-1847 278 
00002073 PATRICK HENRY        004 04-05-1847 347 
00002074 ADAM LODGE           004 06-02-1847 222 
00002075 NEW YORK             004 04-05-1847 344 
00002076 BIRKINHEAD           004 06-02-1847 290 
00002077 AILSA                003 06-03-1847 086 
00002078 ABBY PRATT           004 06-03-1847 205 
00002079 FIDELIA              004 02-23-1847 206 
00002080 EUROPE               004 02-24-1847 213 
00002081 JUNO                 004 06-03-1847 250 
00002082 HYNDERFORD           004 02-24-1847 059 
00002082 HYNDERFORD           006 06-04-1847 164 
00002084 MARMION              004 02-24-1847 248 
00002105 HELENA               004 06-04-1847 126 
00002106 AERIEL               165 06-04-1847 057 
00002107 JANE                 004 06-04-1847 129 
00002110 NEW WORLD            004 06-07-1847 539 
00002111 GASPER               046 06-08-1847 048 
00002113 ENTERPRISE           004 10-08-1847 011 
00002115 JOSEPH HOWE          070 10-11-1847 003 
00002117 ABBY PRATT           004 10-15-1847 159 
00002119 RICHARD WATSON       106 01-05-1847 113 
00002120 ZENOBIA              004 04-06-1847 247 
00002121 LEVERETT             165 06-07-1847 037 
00002122 NORTHUMBERLAND       061 04-06-1847 062 
00002123 TASSIE               035 06-08-1847 102 
00002124 FIDELIA              004 10-06-1847 185 
00002125 ASHBURTON            004 02-26-1847 381 
00002126 COXON                046 06-08-1847 108 
00002127 EUROPE               004 10-18-1847 056 
00002129 BROOKSBY             006 02-27-1847 018 
00002131 ADAM CARR            006 02-27-1847 010 
00002132 F MATHEWS            106 02-27-1847 030 
00002133 CARTHAGE             004 06-09-1847 166 
00002134 JAMES REDDON         004 06-09-1847 085 
00002136 FALCON               060 02-27-1847 001 
00002138 THARTUS              018 03-01-1847 063 
00002140 AGINA                167 03-03-1847 001 
00002141 FLORA                026 03-08-1847 001 
00002145 ELSINORE             004 10-21-1847 207 
00002146 HENDRIK HUDSON       061 03-09-1847 020 
00002147 ABERFOIL             004 03-11-1847 192 
00002148 EMPIRE               004 04-07-1847 417 
00002149 WINDSOR CASTLE       004 06-09-1847 250 
00002150 JAMES                059 06-09-1847 106 
00002151 OHIO                 004 03-12-1847 174 
00002155 ROSE                 155 03-18-1847 003 
00002156 MARGARET EVANS       061 03-23-1847 010 
00002157 SEA OF NEW YORK      004 03-23-1847 312 
00002158 LIVERPOOL            004 04-07-1847 419 
00002159 ORIZABA              004 06-10-1847 270 
00002160 CEYLON               004 06-10-1847 253 
00002161 SARAH BOYCE          106 06-10-1847 134 
00002162 M LIVINGSTON         004 10-21-1847 251 
00002163 OCEAN                016 10-22-1847 003 
00002164 BAVARIA              004 06-10-1847 214 
00002165 FRANKLIN             000 06-11-1847 073 
00002166 TENNESSEE            018 06-11-1847 182 
00002168 COLUMBIANA           004 10-22-1847 192 
00002169 HINDOSTAN            004 06-11-1847 159 
00002170 GOLCONDA             052 06-12-1847 087 
00002171 CALYPSO              046 06-15-1847 152 
00002172 MORGIANA             046 06-15-1847 076 
00002173 ADIRONDACK           004 01-07-1847 279 
00002175 SHAMROCK             134 06-16-1847 146 
00002176 FINLAND              004 03-25-1847 191 
00002177 METOKA               004 01-07-1847 156 
00002179 SIDDONS              004 03-31-1847 355 
00002180 ELEUTHERIA           004 06-18-1847 178 
00002181 FANNY                006 06-18-1847 194 
00002182 VICTOR               059 06-18-1847 110 
00002183 ASHBURTON            004 06-21-1847 330 
00002184 ROSCINE              004 06-21-1847 288 
00002185 VERONA               006 06-21-1847 031 
00002186 ELSINORE             004 05-01-1847 238 
