occupation_code,occupation_desc,occupation_code_norm
NEEDLE,Manufacturer,NEEDLE
NET,Negotiator Maker,NET
NLRM,Nlr,NLRM
NOBOLITY,Newspaper.,NOBOLITY
NOTARY,None­ Public,NOTARY
NOTPUB,Nn,NOTPUB
NRS,;,NRS
NRSN,Nrsm,NRSN
NURSE,Nul\Se Maid,NURSE
NVGT,Nvof,NVGT
NVYCMD,Nlrm,NVYCMD
NVYCPT,Nvy,NVYCPT
NWP,Ntmkr,NWP
OF,Supt,OF
OFF,Occ,OFF
OFFICER,Noncommissioned,OFFICER
OGNBDR,Ortr,OGNBDR
OGNST,Ognmk,OGNST
OPERA,Oilman Manager,OPERA
OPM,Olm,OPM
OPTC,Op,OPTC
OPTICIAN,Operative,OPTICIAN
ORANGE,Grower,ORANGE
ORATOR,Orfice,ORATOR
ORF,Org,ORF
ORGAN,Builder,ORGAN
OSTLER,Organist,OSTLER
OVERSEER,.Overlooker,OVERSEER
OVRSR,Gm (.~Room) Ovrsr (Overseer),OVRSR
PAINTER,Packer 1Page,PAINTER
PAPER,Manufacturer,PAPER
PARCON,Prg,PARCON
PARGETER,Pardner,PARGETER
PARISH,Constable,PARISH
PASTE,Sll Pssl,PASTE
PASTERY,Paster Maker,PASTERY
PATENT,Agent,PATENT
PATTERN,Designer,PATTERN
PAWN,Paver Broker,PAWN
PDLR,Psnt,PDLR
PDNR,Ppstr,PDNR
PEARL,Button,PEARL
PEDDLER,Peasant,PEDDLER
PEDLAR,·.::.,PEDLAR
PEN,Maker,PEN
PENCIL,Artist,PENCIL
PERFUMER,...,PERFUMER
PFNL,Pvtr :T'Rdbr,PFNL
PG,Pk,PG
PH,Phst,PH
PHS,Ams,PHS
PIANIST,Pewterer Pharmacist Philosopher Student Philosophy Photographer Physician,PIANIST
PIANO,Manufacturer,PIANO
PIECER,Pictor,PIECER
PIN,Maker,PIN
PINST,Md,PINST
PIPE,Pioneer Maker,PIPE
PITMAN,Piper,PITMAN
PLANTER,Plaiter,PLANTER
PLAYER,Chess,PLAYER
PLC,Tr,PLC
PLEGER,Plasterer,PLEGER
PLGM,Plgmkr,PLGM
PLGR,Plstr,PLGR
PLMN,Pnr,PLMN
PLNTR,Plr,PLNTR
PLTR,".,F",PLTR
PLUMBER,Ploughmaker Ploughman Ploughwoman,PLUMBER
PMBR,Plgw,PMBR
PMM,Maker,PMM
PMNFTR,Pmkr,PMNFTR
PMS,Past,PMS
PNM,Pcr,PNM
PNTR,Ptnr,PNTR
POLISHER,Pointer Policeman ',POLISHER
POST,Possident Assistant,POST
POT,Maker,POT
POTTERY,Potter Maker,POTTERY
POWDER,Portar/Porter Portmanteau Poulterer Ma.Ker,POWDER
PPHGR,Pntr,PPHGR
PPMKR,Pir,PPMKR
PPMPR,Ppmkr,PPMPR
PPTR,Prm,PPTR
PRCH,Pdrmkr,PRCH
PRESSMAN,Preacher President,PRESSMAN
PRFR,Prof,PRFR
PRINT,Priest Principal Cutter,PRINT
PRINTER,Lithographer · Lithographer,PRINTER
PRIVATE,Printer Man,PRIVATE
PRL,Prest,PRL
PRMN,Pvmt,PRMN
PRNTR,Prntctr,PRNTR
PRODUCT,Frivatier,PRODUCT
PRS,Pres,PRS
PRTR,Ptym,PRTR
PSSL,"Pasm .,F",PSSL
PSSR,Plh,PSSR
PST,Psmk,PST
PT,Ptym,PT
PTBY,Post,PTBY
PTDSGR,Pagnt,PTDSGR
PTM,Ppr,PTM
PTMKR,",",PTMKR
PTR,Chptr Ch~ (Putter),PTR
PUB,Pel,PUB
PUCKER,Publican Publisher,PUCKER
PUD,Pkr,PUD
PUGILIST,Puddler,PUGILIST
PUMK,Pug,PUMK
PUMP,Maker,PUMP
PURSE,Maker,PURSE
PVTW,Pvtm,PVTW
PWB,Pvr,PWB
PWT,Prf,PWT
QA,Qrymn,QA
QRYMN,Cptr,QRYMN
QTR,Ctl,QTR
QUARRIER,Longshoreman Q.C.,QUARRIER
QUAY,Quarryman Man/,QUAY
RAILWAY,Superintendent Superintendent,RAILWAY
RAINES,Hackler Hairdresser Maker,RAINES
RANGER,Rancher,RANGER
RAZOR,Manufacturer,RAZOR
