job_name,job_code
REFRIGERATOR ATTENDANT,RFGAT
RELIGIOUS (for nuns),RE
RELIGIOUS-NOTRE,DAME
RENTER,RR
RENTIER,RTR
REPORTER,RPTR
RESTAURANT,REST
RESTORER,RST
RETIRED,RET
RETIRED MERCHANT,MCHTRET
MAKER,RETMKR
REVITER,RVR
... RIBBON MAKER,RBM
RIGGER,RGR
ROLLER,ROLR
ROOF MAKER,RFMK
ROPE MAKER,RPR
ROYAL CORPS OF ENGINEERS,RCENGR
SADDLER,SDLR
SADDLER MAKER,SDLMKR
SAILOR/SAILORESS,SLR
SAIL MAKER,SLMKR
SALE MAKER,SLMK
SALESMAN,SLSMN
SALOON KEEPER,SLKP
SALTER,SALT
SAWER/SAWYER,SWR
SAWFILER,SWF
SAWMAKER,SWMKR
SCALE MAKER,SCM
SCHOOL MASTER,"SCHM"""
"""SCHOLAR",SCH
SCISSORS MAKER,SCSM
SCRIVINER,SCRV
SCULPTOR,SCP
SEA CAPTAIN,CPT
SEAMAN,SEMN
SEAMSTRESS,SMSTS
S$CRETARY,SEC
"SECRETARY-YMCA""",SEC-YMCA
-.: SEEDMAN,SDM
SELLER,SLL
SELLER OF PASTE,PSSL
SEMINARIAN,THST
SEMPSTRESS/SEAMsTRESS,SMSTS
SERVANT,SVNT
SERVING MACHINIST,SMACH
SETTEL-UP,SUP
SETTER,STR
SETTLER,STLR
SETTMAKER,SMKR
SEWER,SMSTS
SHARFEN,SHF
SHAVER,SHV
SHEARER,SHR
SHEEP DEALER,SHFM
SHEEP FARMER,SHFM
SHEEP HERDER,SHFM
SHEET MANUFACTURER,SHMFTR
SHEPHERD,'SHFM
SHIPBROKER,SBRK
SHIP CHANDLER,SHCHND
SHIP MAKER,SHPMKR
SHIP MASTER,CPT
SHIP OWNER,SHPO
SHIP'S CARPENTER,SHPC
SHIP SURGEON,SGNS
SHIPPER,SHPR
SHIPPING,SHPG
SHIPSMITH,SHSM
SHIPWRIGHT,SHPWRT
SHIRT MAKER,SRTMKR
SHOE BINDER,SHBND
SHOEMAKER,SHMK
SHOE MANUFACTURER,SHMNFTR
SHOP APT,SAFT
SHOP ASSISTANT,SHPAST
SHOP BOY,SHB
SHOP KEEPER,SHPKR
SHOP MAN,SHPMN
SHOWMAN,SHW
SIEVE MAKER,SVMKR
SIGAR LAB,SGRL
SIGN MAKER,SGNMKR
SIGN PAINTER,SPNTR
SILK DYER,SDYR
SILK MANUFACTURER,SMNFTR
SILK MERCHANT,SMCHT
SILK SPINNER,SSPNR
SILK WEAVER,SWVR
PLATER,SLPL
SILVERSMITH,SLSMH
SINGER,SING
SINGLE,SGL
SKINNER,SKR
SLATER,SLT
SLOBER,SLBR
SMELTER,S.ML
SMIDTH,SMD
SMITH,SMH
SOAP BOILER,SPB
SOAP MAKER,SPM
SODA WATER MAKER,SDWM
SOLDIER,SLD
SOLICITOR SL,CTR
SPECULATOR,SPEC
SPINNER,SPNR
SPINSTER,SP
SPORTSMAN,SPRTMN
SPRINGMAKER,SPMK
STABLEMAN,STLMN
STAMP MAKER,STAMKR
STARCH MA.KER,STHMKR
STATESMAN,STMN
STATIONER,STNER
STATUARY,SCP
STAY MAKER,CST
STELL MAKER,STMKR
STENOGRAPHER,STNG
STEVEDORE,QA
STEWARD,STWD
STWEDARDESS,STWS
STEWARD'S-OF-ROOM,STWD
STEWARD-OF-THE-STORES,STWST
STICK MAKER,STMA.KR
STICKDRESSER,STDRS
STIFF PRESSER,STPRS
STOCK BROKER,STKB
STOCK MAKER,STKMKR
1 STOCKMAN,STKM
STOCK RAISER,STKR
STOCKING WEAVER,STKW
STOKER,STK
STOKER-GAS,STKG
STONE BREAKER,STB
STONE CUTTER,STCTR
STONE DEALER,STDLR
STONE MASON,STMSN
STONE POLISHER,STPLH
STONER,STNR
STORE CLERK,STCL
STOREKEEPER,STKPR
STOVE MANUFACTURER,STVMN
STRAP PRESSER,STPR
STREET CLEANER,STCLR
STUCCO WORKER,STCWKR
STUDENT,STDNT
SUBDUER,OVRSR
SUGAR BAKER,SUGB
SUGAR REFINER,SUGF
",,, SUPERATTENDENT",SPAT
SUPER CARGO,MCHT
SUPERINTENDENT,SUPT
SUPERINTENDENT,OF
RAILWAY WORKERS,SUPTRW
SURGEON,SGN
SURVEYOR,SVYR
SWEEPER,SWP
TABLE MAKER,TBMK
TAILOR/TAILORESS,TLR
TALISMAN,TLSMN
TALLON CHANDLER,TALCH
TALLOW CHANDLER,TACH
TANNER,TNR
TAVERNER,TVN
TEA DEALER,TDLR
TEA TASTER,TTR
TEACHER,TCHR
TEACHER OF LANGUAGES,TCHRL
TEAMSTER,TER
TELEGRAPH CLERK,TGC
·TENOR,TN
